Country,Year,Tech Sector,Market Share (%), R&D Investment (in USD) ,Number of Patents Filed (Annual),Number of Tech Companies, Tech Exports (in USD) ,Number of Startups, Venture Capital Funding (in USD) ,Global Innovation Ranking,Internet Penetration (%),5G Network Coverage (%),University Research Collaborations,Top Tech Products Exported,Number of Tech Workers
China,2023,Software,34.74%," $96,831,929,940 ",8298,144," $101,093,614,340.36 ",495," $3,151,512,208 ",13,52%,53%,72,Semiconductors,375112
Japan,2019,Biotechnology,25.10%," $30,497,597,388 ",5804,513," $197,585,148,165.48 ",496," $37,836,394,396 ",13,76%,25%,53,Semiconductors,428291
China,2011,Telecommunications,12.30%," $79,205,287,632 ",3946,1696," $36,485,290,783.57 ",70," $41,193,044,243 ",9,97%,18%,74,Robots,248763
China,2000,AI,43.78%," $86,513,050,220 ",9554,1653," $196,968,948,926.34 ",302," $12,894,336,391 ",7,65%,60%,82,AI Chips,4415
Japan,2002,Telecommunications,22.59%," $89,979,549,273 ",9465,1352," $99,879,463,208.94 ",304," $33,769,684,547 ",2,94%,70%,143,AI Chips,262268
China,2019,Biotechnology,38.44%," $69,606,877,638 ",184,1745," $169,781,923,034.53 ",141," $46,748,076,183 ",8,69%,60%,7,Robots,262156
China,2005,AI,9.40%," $64,012,993,197 ",5366,1358," $92,867,517,868.82 ",172," $25,440,344,770 ",17,52%,37%,126,AI Chips,739968
Japan,2023,Biotechnology,25.00%," $38,823,241,454 ",4476,333," $36,953,428,206.70 ",438," $36,877,061,952 ",18,96%,38%,176,Cloud Servers,118884
China,2010,Biotechnology,26.53%," $34,325,243,135 ",2785,894," $59,942,967,946.10 ",352," $8,726,029,781 ",3,46%,78%,148,Semiconductors,112554
China,2021,Telecommunications,28.81%," $44,070,455,231 ",4022,208," $43,543,589,539.39 ",312," $16,431,711,271 ",9,90%,12%,168,5G Equipment,582328
China,2018,AI,19.87%," $8,594,026,765 ",9051,1012," $133,986,497,831.85 ",208," $27,672,190,428 ",3,94%,65%,103,Semiconductors,19300
Japan,2015,Telecommunications,39.02%," $61,693,222,918 ",1545,1749," $122,240,332,204.97 ",462," $14,561,075,823 ",13,60%,72%,187,Robots,322702
China,2004,Telecommunications,33.02%," $85,147,166,317 ",5291,207," $79,510,898,321.55 ",493," $25,154,950,194 ",17,41%,66%,99,Cloud Servers,175308
Japan,2005,Robotics,24.06%," $1,219,052,809 ",1315,507," $2,230,525,883.32 ",359," $19,583,465,223 ",1,64%,24%,104,5G Equipment,182891
China,2005,Robotics,21.32%," $4,039,866,632 ",9909,1609," $45,405,563,610.00 ",28," $4,761,097,613 ",2,70%,40%,148,Semiconductors,719455
Japan,2004,Semiconductor,47.33%," $30,497,031,236 ",7791,407," $193,891,184,748.18 ",194," $35,655,619,046 ",19,75%,60%,21,Robots,732084
China,2017,Semiconductor,25.73%," $76,325,409,209 ",1247,1205," $37,612,307,102.08 ",36," $44,857,958,156 ",10,64%,49%,25,Robots,738530
China,2021,Biotechnology,44.28%," $14,059,639,579 ",7278,367," $125,048,184,180.15 ",357," $37,685,917,939 ",17,84%,81%,168,Robots,736102
China,2020,Robotics,20.72%," $25,446,211,732 ",8323,1344," $129,007,413,918.75 ",249," $25,191,033,400 ",7,79%,83%,166,5G Equipment,338342
China,2001,Biotechnology,26.03%," $17,855,189,341 ",7899,715," $38,467,087,512.91 ",467," $49,738,055,669 ",18,54%,76%,60,Cloud Servers,149534
Japan,2002,Semiconductor,9.87%," $21,717,826,060 ",7437,502," $72,071,633,720.53 ",368," $5,591,444,194 ",6,92%,75%,43,5G Equipment,492215
China,2005,Cloud Computing,48.29%," $42,776,026,853 ",6937,1322," $3,028,670,100.57 ",197," $5,272,284,075 ",6,97%,43%,81,Cloud Servers,566605
Japan,2014,Telecommunications,6.41%," $43,885,374,607 ",920,714," $185,800,708,056.59 ",151," $3,737,513,809 ",2,98%,76%,105,5G Equipment,827771
China,2004,Cloud Computing,45.58%," $50,400,241,997 ",287,238," $168,231,571,110.38 ",222," $502,538,976 ",5,77%,10%,165,Cloud Servers,6578
China,2009,AI,18.10%," $53,932,917,981 ",147,903," $117,292,919,909.19 ",139," $30,503,269,541 ",5,69%,81%,122,5G Equipment,446909
China,2006,AI,17.02%," $38,538,775,388 ",8388,206," $22,846,464,501.44 ",409," $43,650,437,075 ",9,43%,28%,173,Robots,608778
China,2016,Cloud Computing,8.46%," $80,613,131,306 ",8826,171," $171,529,666,500.46 ",296," $29,725,411,536 ",13,73%,51%,68,Cloud Servers,890985
China,2016,Semiconductor,30.13%," $89,626,611,349 ",2335,637," $102,817,356,234.09 ",470," $40,608,775,744 ",12,69%,60%,59,5G Equipment,510399
China,2009,Robotics,20.48%," $33,504,086,578 ",4660,897," $112,295,288,439.02 ",167," $11,384,268,043 ",13,49%,42%,192,AI Chips,526038
China,2004,Software,18.47%," $76,199,011,695 ",6081,196," $46,862,196,303.66 ",130," $11,552,147,909 ",19,61%,64%,144,Semiconductors,351729
China,2002,Telecommunications,21.48%," $44,578,850,593 ",3571,143," $111,248,808,202.01 ",216," $47,959,869,041 ",12,78%,32%,130,5G Equipment,540942
Japan,2015,AI,31.32%," $10,689,446,397 ",2122,1370," $169,587,619,071.73 ",267," $16,732,546,669 ",1,63%,39%,141,AI Chips,185967
Japan,2015,Biotechnology,25.70%," $55,893,378,069 ",9966,1712," $35,139,165,944.28 ",324," $14,450,186,871 ",1,62%,84%,35,AI Chips,452622
Japan,2009,Telecommunications,44.21%," $91,155,415,843 ",1981,965," $31,719,113,296.23 ",319," $16,163,662,632 ",13,71%,48%,154,Semiconductors,457123
China,2015,Semiconductor,34.49%," $11,907,675,668 ",1571,1604," $62,021,195,876.77 ",254," $19,239,879,959 ",15,75%,18%,18,AI Chips,785864
Japan,2003,Software,36.15%," $87,941,710,210 ",3566,400," $24,141,104,646.89 ",341," $25,778,391,897 ",6,76%,31%,179,AI Chips,49274
China,2011,Telecommunications,38.13%," $59,355,370,899 ",2293,1933," $17,490,672,363.77 ",489," $34,726,104,424 ",19,50%,62%,62,Robots,257509
China,2009,Robotics,7.50%," $55,417,647,569 ",3675,1988," $145,875,477,822.14 ",297," $40,828,510,109 ",11,94%,14%,84,AI Chips,600548
Japan,2008,Telecommunications,49.08%," $73,528,531,703 ",9034,289," $196,958,445,049.90 ",297," $15,352,566,464 ",5,93%,36%,150,AI Chips,113791
China,2009,Cloud Computing,12.47%," $4,463,726,746 ",9563,554," $181,197,762,675.37 ",320," $10,349,089,446 ",12,72%,43%,23,Cloud Servers,80626
China,2017,Biotechnology,12.52%," $80,134,127,178 ",9957,852," $9,694,782,157.77 ",36," $7,430,846,727 ",9,93%,42%,189,Robots,400560
China,2017,Software,26.83%," $33,013,248,703 ",8959,84," $161,048,393,106.18 ",21," $20,901,751,805 ",10,80%,73%,52,Cloud Servers,663961
Japan,2021,Cloud Computing,14.03%," $9,214,961,674 ",1290,1025," $59,347,206,758.22 ",78," $338,886,175 ",7,85%,42%,9,Cloud Servers,737750
China,2015,Biotechnology,16.88%," $46,506,824,362 ",416,1750," $113,792,459,762.60 ",351," $24,781,699,061 ",5,64%,34%,116,Cloud Servers,296259
Japan,2012,Software,44.10%," $7,025,121,831 ",9728,1197," $140,825,191,749.89 ",322," $47,925,907,966 ",12,48%,77%,92,Robots,603947
China,2005,Biotechnology,6.99%," $30,311,925,592 ",9824,687," $46,213,068,995.40 ",454," $44,202,323,176 ",10,92%,57%,194,Cloud Servers,986343
China,2013,Robotics,46.08%," $16,836,852,666 ",2745,1846," $78,480,416,607.62 ",371," $36,251,551,351 ",5,45%,32%,102,Semiconductors,518078
Japan,2010,Semiconductor,5.76%," $92,319,861,846 ",1183,1520," $140,354,059,093.13 ",60," $10,366,942,105 ",11,53%,11%,94,Semiconductors,548532
China,2009,Telecommunications,13.93%," $64,128,784,694 ",9686,88," $179,524,697,073.22 ",226," $43,092,248,824 ",2,58%,32%,13,AI Chips,745045
China,2006,AI,26.53%," $63,114,906,289 ",4812,1680," $37,268,764,040.82 ",464," $44,776,258,583 ",2,57%,86%,55,Robots,103279
China,2001,Robotics,20.23%," $26,979,614,998 ",5125,278," $59,490,082,438.48 ",361," $41,009,114,954 ",18,63%,26%,91,Semiconductors,669605
Japan,2001,AI,11.87%," $24,276,932,101 ",3591,1151," $25,001,912,511.11 ",231," $658,785,514 ",3,50%,17%,78,Cloud Servers,175525
Japan,2022,AI,12.63%," $32,991,860,881 ",1156,247," $187,663,886,843.27 ",11," $4,793,199,332 ",18,87%,68%,112,Robots,770490
Japan,2022,Robotics,6.98%," $96,685,878,968 ",9223,773," $32,739,108,912.85 ",347," $45,211,239,109 ",12,97%,85%,1,Semiconductors,67952
Japan,2023,Cloud Computing,37.27%," $99,958,781,871 ",5538,698," $61,757,695,247.88 ",428," $41,435,293,080 ",3,94%,31%,178,Robots,414516
China,2003,Robotics,45.35%," $54,084,459,558 ",3522,936," $76,958,642,611.83 ",200," $2,371,335,147 ",8,82%,60%,134,Cloud Servers,541482
Japan,2018,AI,6.26%," $48,220,722,906 ",8318,1356," $183,879,336,086.76 ",371," $23,884,817,464 ",6,83%,13%,19,Cloud Servers,52428
China,2010,Biotechnology,12.77%," $89,796,128,349 ",285,1654," $82,701,816,368.40 ",496," $20,355,102,732 ",19,85%,58%,32,Robots,981542
China,2017,AI,40.21%," $60,970,583,692 ",2646,1716," $161,130,506,984.83 ",325," $11,635,119,864 ",18,59%,57%,172,Robots,484115
China,2014,Software,5.64%," $43,523,206,902 ",2818,1249," $23,468,378,956.51 ",46," $48,769,598,333 ",3,42%,61%,194,AI Chips,435149
China,2020,Robotics,25.34%," $29,895,174,390 ",7252,1362," $183,283,354,766.77 ",221," $3,304,612,176 ",15,51%,55%,5,Cloud Servers,147330
China,2015,Telecommunications,11.41%," $99,707,688,040 ",532,645," $176,202,571,207.04 ",454," $20,518,217,026 ",14,65%,70%,166,Cloud Servers,663186
Japan,2012,Biotechnology,17.28%," $14,829,021,199 ",6098,615," $59,332,700,706.83 ",407," $12,444,240,707 ",17,64%,73%,45,Cloud Servers,706785
China,2020,Software,26.96%," $35,783,174,109 ",8100,960," $6,484,737,670.39 ",447," $33,514,028,927 ",16,68%,44%,44,AI Chips,101836
Japan,2002,AI,33.58%," $83,165,996,738 ",4919,1984," $118,758,820,100.58 ",156," $49,917,083,001 ",2,67%,76%,136,Semiconductors,54839
Japan,2019,Semiconductor,9.16%," $55,706,149,651 ",9954,94," $24,073,712,036.16 ",39," $11,643,751,453 ",2,46%,27%,191,Cloud Servers,909575
Japan,2016,Biotechnology,38.62%," $54,897,173,848 ",5338,1941," $140,448,322,940.06 ",434," $1,877,387,579 ",15,73%,78%,187,Semiconductors,628629
China,2009,AI,5.87%," $42,789,684,218 ",3588,1849," $197,136,209,141.42 ",462," $27,410,211,603 ",11,92%,20%,62,Cloud Servers,877082
China,2004,Semiconductor,24.73%," $27,299,531,489 ",3794,1724," $99,917,467,535.53 ",464," $37,978,527,279 ",19,95%,49%,141,Cloud Servers,351149
China,2010,Biotechnology,17.32%," $48,519,194,163 ",7726,657," $70,775,732,060.52 ",71," $12,958,819,490 ",1,79%,54%,112,Cloud Servers,695604
China,2004,AI,16.07%," $2,211,269,692 ",7057,1296," $62,220,146,891.00 ",139," $35,680,048,695 ",5,93%,57%,172,Cloud Servers,982137
Japan,2014,Telecommunications,48.53%," $62,522,263,777 ",2020,372," $176,951,179,808.23 ",296," $40,064,404,718 ",2,88%,81%,75,Cloud Servers,415533
China,2007,Cloud Computing,36.38%," $57,127,566,998 ",9217,1504," $118,563,184,810.81 ",295," $22,597,159,188 ",14,71%,54%,111,5G Equipment,249207
China,2019,Biotechnology,20.17%," $27,325,431,600 ",9849,782," $156,154,596,318.52 ",267," $7,646,709,618 ",10,72%,76%,183,Cloud Servers,560786
China,2018,Semiconductor,38.69%," $18,914,809,549 ",3073,864," $186,041,557,518.86 ",65," $22,569,750,485 ",15,100%,80%,21,5G Equipment,662796
Japan,2014,Cloud Computing,11.73%," $63,156,656,369 ",7494,228," $77,441,467,644.82 ",223," $43,151,428,391 ",14,60%,65%,23,Cloud Servers,317207
China,2005,Telecommunications,18.36%," $52,375,593,245 ",2405,406," $33,866,123,734.96 ",20," $524,133,533 ",18,84%,11%,74,AI Chips,295074
Japan,2001,AI,18.22%," $96,657,639,659 ",6177,107," $78,545,614,002.74 ",354," $27,691,998,576 ",19,55%,48%,181,Cloud Servers,389837
China,2022,Semiconductor,48.45%," $77,277,768,770 ",9940,1902," $46,751,248,983.58 ",160," $3,100,296,119 ",15,47%,24%,118,5G Equipment,493908
Japan,2001,Semiconductor,28.72%," $23,393,077,893 ",7923,1149," $192,123,930,378.12 ",421," $19,696,488,175 ",19,83%,59%,162,Robots,357302
Japan,2014,Software,29.28%," $95,774,162,797 ",3910,1645," $117,589,403,258.13 ",333," $32,006,978,959 ",4,54%,67%,104,AI Chips,454342
Japan,2016,Telecommunications,35.11%," $38,935,469,001 ",7770,542," $170,209,256,431.07 ",417," $23,223,470,930 ",2,67%,88%,106,Cloud Servers,194116
China,2023,Cloud Computing,34.42%," $96,292,731,480 ",2273,636," $192,595,820,887.36 ",395," $6,421,238,126 ",15,44%,14%,122,Semiconductors,520130
China,2020,Telecommunications,45.24%," $65,543,747,000 ",2962,1923," $184,066,202,985.83 ",182," $20,539,909,749 ",16,86%,56%,189,Robots,185159
China,2013,Semiconductor,21.02%," $60,530,701,207 ",293,457," $119,457,735,906.24 ",197," $34,183,707,524 ",14,84%,36%,149,5G Equipment,53372
China,2014,Robotics,34.51%," $66,994,680,145 ",730,1977," $175,214,243,389.88 ",494," $6,225,743,557 ",19,44%,23%,37,Cloud Servers,575661
China,2011,Cloud Computing,8.40%," $50,520,199,037 ",4312,280," $32,202,340,556.15 ",122," $41,577,930,491 ",15,47%,27%,191,Semiconductors,830004
Japan,2023,Biotechnology,35.91%," $25,466,715,373 ",3665,1290," $191,875,490,060.00 ",494," $25,929,274,570 ",6,72%,18%,20,Semiconductors,994370
China,2023,Telecommunications,42.47%," $19,341,863,280 ",1805,1188," $79,470,830,813.65 ",292," $21,061,436,257 ",6,93%,80%,80,Robots,761963
Japan,2001,Biotechnology,22.63%," $48,684,379,109 ",5704,314," $138,863,898,555.90 ",216," $39,217,269,548 ",5,91%,32%,195,5G Equipment,682577
China,2012,Semiconductor,17.30%," $4,443,148,914 ",7558,1974," $115,055,747,690.32 ",265," $7,556,898,791 ",16,43%,41%,139,Semiconductors,212035
China,2002,Software,24.62%," $63,618,489,776 ",261,1924," $134,577,861,668.08 ",423," $3,544,674,441 ",18,82%,80%,111,5G Equipment,105946
China,2005,AI,27.29%," $45,866,175,266 ",2791,1289," $175,003,823,822.92 ",476," $46,123,056,032 ",15,45%,16%,56,Semiconductors,321828
Japan,2015,Semiconductor,42.69%," $86,804,289,729 ",5899,1309," $26,041,161,865.79 ",247," $11,383,749,371 ",6,43%,32%,109,Cloud Servers,636074
China,2007,Robotics,37.18%," $28,865,496,875 ",2728,446," $32,532,375,953.17 ",97," $40,675,729,331 ",19,98%,16%,185,AI Chips,591659
Japan,2012,Semiconductor,13.03%," $6,376,807,844 ",4579,1974," $12,176,455,085.11 ",313," $31,476,897,051 ",3,43%,80%,194,5G Equipment,712146
Japan,2023,AI,30.89%," $65,361,772,780 ",9569,783," $198,977,436,380.96 ",475," $12,404,220,302 ",2,70%,83%,132,Semiconductors,457091
Japan,2022,Robotics,6.61%," $1,240,145,630 ",6254,1492," $168,942,508,841.32 ",179," $537,400,024 ",6,70%,39%,141,Robots,3897
Japan,2003,Software,34.81%," $12,878,174,122 ",1728,584," $16,524,292,194.38 ",306," $7,520,336,553 ",9,58%,60%,10,Cloud Servers,47851
China,2010,AI,5.53%," $78,491,699,546 ",7342,308," $42,684,795,288.34 ",471," $36,773,592,159 ",5,47%,79%,14,Robots,420621
China,2021,Biotechnology,49.59%," $84,054,962,333 ",5401,75," $159,024,696,696.69 ",181," $28,973,383,607 ",14,73%,37%,164,AI Chips,273399
Japan,2002,Software,25.98%," $92,178,261,105 ",2885,1692," $33,220,045,083.91 ",308," $29,502,560,412 ",16,65%,87%,117,Cloud Servers,128345
China,2015,AI,9.85%," $20,389,315,990 ",7877,647," $51,307,353,611.39 ",71," $44,728,980,342 ",19,95%,29%,59,Cloud Servers,663008
China,2006,Cloud Computing,14.80%," $9,135,240,634 ",9049,1596," $17,860,001,192.39 ",347," $12,049,587,117 ",3,91%,82%,51,AI Chips,557283
Japan,2017,AI,11.61%," $15,181,946,258 ",4569,194," $102,902,802,979.25 ",495," $49,380,420,398 ",9,51%,16%,56,AI Chips,805976
Japan,2019,Biotechnology,15.94%," $27,568,305,789 ",3191,1393," $180,372,119,171.91 ",333," $40,873,260,255 ",5,45%,54%,108,AI Chips,838127
China,2004,Cloud Computing,48.53%," $83,487,995,389 ",4360,1234," $122,364,311,372.36 ",465," $41,457,494,947 ",8,65%,71%,78,Robots,23112
China,2004,Biotechnology,21.76%," $13,480,012,804 ",5427,1166," $95,736,530,627.15 ",21," $13,412,700,610 ",13,46%,51%,91,Semiconductors,517388
Japan,2015,AI,23.14%," $36,443,272,294 ",7644,1944," $104,586,439,414.13 ",86," $4,849,885,058 ",2,81%,62%,26,Robots,972157
China,2004,Cloud Computing,39.47%," $12,334,956,082 ",1287,452," $69,986,174,656.84 ",347," $9,351,498,255 ",3,43%,78%,114,Semiconductors,971808
Japan,2011,Semiconductor,40.34%," $51,283,088,417 ",4232,136," $154,627,884,336.08 ",18," $18,209,911,417 ",4,49%,52%,61,Cloud Servers,633600
China,2022,Robotics,25.31%," $68,814,734,928 ",1814,1707," $79,720,091,205.63 ",473," $46,031,567,213 ",12,50%,38%,25,Robots,371077
Japan,2023,Telecommunications,16.39%," $10,363,611,800 ",9626,1207," $175,632,655,820.25 ",336," $45,364,521,749 ",19,100%,23%,10,Robots,8845
China,2019,Cloud Computing,47.30%," $73,898,599,944 ",7746,219," $152,288,843,592.46 ",348," $40,338,864,713 ",14,44%,59%,13,5G Equipment,135933
Japan,2011,Telecommunications,14.22%," $27,535,922,504 ",4389,586," $147,006,385,662.19 ",430," $20,940,038,139 ",6,86%,49%,173,AI Chips,653696
Japan,2021,Semiconductor,16.18%," $19,875,448,149 ",242,1154," $163,776,919,477.44 ",485," $19,261,258,369 ",2,86%,88%,97,AI Chips,230557
China,2013,Semiconductor,17.97%," $9,986,352,402 ",1493,896," $100,763,796,886.51 ",449," $38,506,072,556 ",6,96%,34%,84,AI Chips,955057
Japan,2007,Biotechnology,26.52%," $86,113,128,719 ",2207,1610," $189,711,289,884.52 ",416," $32,540,648,251 ",16,76%,54%,174,Cloud Servers,704379
China,2014,Biotechnology,41.20%," $68,751,070,346 ",5524,1039," $93,122,247,639.16 ",328," $2,482,963,833 ",8,57%,15%,164,Cloud Servers,809280
China,2022,Semiconductor,22.74%," $15,821,356,696 ",8153,715," $51,141,651,875.69 ",176," $38,909,656,803 ",15,97%,12%,168,5G Equipment,948026
Japan,2012,AI,26.15%," $62,015,635,126 ",6692,275," $148,952,479,253.21 ",347," $6,451,653,505 ",18,46%,31%,45,Robots,730646
Japan,2015,AI,43.45%," $71,167,659,988 ",6034,905," $118,562,642,591.61 ",475," $25,830,261,709 ",2,57%,22%,110,AI Chips,191834
China,2023,Biotechnology,35.21%," $25,017,858,025 ",1992,1646," $24,675,249,107.47 ",418," $13,909,906,623 ",16,47%,45%,107,Semiconductors,820727
China,2014,Robotics,49.15%," $42,050,080,297 ",9761,1049," $92,824,766,158.12 ",71," $39,573,953,820 ",17,61%,56%,174,Robots,246884
China,2019,Cloud Computing,19.58%," $67,759,204,733 ",2825,1090," $7,364,896,153.74 ",346," $11,587,046,445 ",4,72%,41%,17,Semiconductors,951546
Japan,2023,Cloud Computing,10.88%," $76,116,049,510 ",8901,1244," $198,831,541,364.08 ",102," $13,702,695,419 ",8,72%,26%,162,Cloud Servers,111859
Japan,2021,Cloud Computing,26.82%," $19,958,840,218 ",7795,587," $61,273,169,317.05 ",17," $11,011,105,017 ",14,88%,35%,82,AI Chips,675153
China,2023,Software,34.73%," $98,029,821,733 ",7974,1356," $170,698,868,931.73 ",302," $33,198,302,045 ",11,97%,77%,118,5G Equipment,348540
Japan,2008,Robotics,14.20%," $91,924,309,510 ",6362,1139," $196,266,338,530.66 ",101," $31,266,341,106 ",1,87%,71%,124,Robots,736526
China,2001,Semiconductor,35.15%," $1,635,931,173 ",6809,1817," $2,417,977,038.22 ",99," $643,149,655 ",2,83%,20%,85,AI Chips,353801
China,2016,Biotechnology,35.33%," $98,120,892,834 ",9073,1704," $43,538,931,019.30 ",123," $30,625,529,453 ",9,61%,26%,186,AI Chips,738267
China,2012,Robotics,31.99%," $46,023,154,079 ",7369,1535," $60,826,143,532.00 ",330," $9,469,138,585 ",3,58%,23%,131,Cloud Servers,20052
Japan,2019,Semiconductor,14.12%," $68,643,356,721 ",6527,770," $52,316,956,445.57 ",223," $18,410,807,659 ",14,41%,44%,40,5G Equipment,927284
Japan,2002,Biotechnology,42.26%," $81,220,013,826 ",2396,1287," $166,903,431,832.44 ",206," $40,193,028,270 ",14,80%,43%,28,Cloud Servers,529837
Japan,2014,Cloud Computing,23.19%," $97,654,636,632 ",2818,1488," $107,162,341,831.14 ",37," $3,684,798,889 ",12,67%,29%,119,AI Chips,466423
China,2011,Telecommunications,13.42%," $61,627,716,410 ",8449,809," $128,917,852,824.02 ",76," $49,544,967,713 ",6,66%,20%,118,5G Equipment,484181
Japan,2003,Software,36.25%," $46,293,835,493 ",5707,779," $121,414,257,183.81 ",202," $4,069,798,898 ",5,59%,40%,145,5G Equipment,665610
Japan,2012,Robotics,8.37%," $21,457,005,995 ",7023,1556," $176,997,230,745.08 ",29," $32,504,431,221 ",7,99%,72%,124,5G Equipment,82501
China,2014,Software,37.25%," $26,426,201,147 ",593,1950," $149,210,119,242.59 ",352," $48,062,953,707 ",2,80%,54%,29,AI Chips,214309
China,2021,Robotics,8.51%," $93,157,210,393 ",5709,1389," $182,799,845,239.72 ",368," $45,290,223,796 ",3,75%,80%,5,Semiconductors,420029
Japan,2003,Telecommunications,29.07%," $13,407,288,733 ",4495,371," $40,307,104,343.41 ",149," $39,512,420,838 ",9,87%,79%,96,AI Chips,372008
China,2000,Semiconductor,21.17%," $44,816,400,728 ",9240,1952," $66,622,343,766.22 ",431," $12,582,822,796 ",6,50%,27%,24,5G Equipment,232611
Japan,2018,Robotics,28.62%," $51,156,322,023 ",4648,1250," $89,787,645,573.82 ",271," $44,602,593,883 ",2,72%,29%,89,Cloud Servers,678408
Japan,2011,Robotics,27.60%," $48,726,497,977 ",6716,313," $32,354,302,678.63 ",145," $29,977,842,531 ",19,53%,81%,133,AI Chips,177276
Japan,2017,Telecommunications,46.74%," $17,581,855,234 ",8420,653," $99,916,450,707.89 ",410," $36,222,852,630 ",6,77%,53%,78,Cloud Servers,978114
Japan,2021,Cloud Computing,30.24%," $84,182,834,813 ",2059,1273," $120,200,975,692.00 ",45," $37,788,587,524 ",1,73%,67%,140,Semiconductors,794320
China,2021,Semiconductor,28.05%," $68,082,227,557 ",7528,1753," $162,756,699,297.19 ",472," $22,134,998,820 ",16,78%,14%,105,Semiconductors,416242
Japan,2017,Software,34.78%," $24,996,841,355 ",3150,887," $78,888,168,125.34 ",36," $49,701,339,258 ",19,51%,60%,103,5G Equipment,732464
Japan,2002,Robotics,26.21%," $33,786,453,924 ",2826,189," $61,295,844,990.97 ",213," $670,691,209 ",19,55%,75%,164,5G Equipment,858622
Japan,2005,Biotechnology,10.59%," $98,553,254,633 ",7027,1235," $39,940,492,252.76 ",207," $31,104,321,044 ",1,85%,10%,5,Cloud Servers,144329
Japan,2014,Software,29.80%," $66,505,062,879 ",5237,1403," $175,576,094,599.57 ",11," $43,422,312,466 ",14,66%,87%,135,5G Equipment,253663
China,2020,Cloud Computing,42.04%," $73,635,733,338 ",4584,381," $98,524,260,056.38 ",478," $38,829,485,536 ",3,44%,49%,74,Robots,253823
Japan,2010,AI,25.77%," $23,521,435,303 ",5541,862," $64,409,262,252.40 ",433," $4,863,294,716 ",19,91%,42%,134,Cloud Servers,956287
China,2004,Telecommunications,39.13%," $14,669,111,906 ",4430,1780," $86,435,512,196.33 ",21," $42,963,356,363 ",2,92%,61%,105,AI Chips,372468
China,2009,Robotics,49.00%," $77,542,130,666 ",9896,541," $18,239,363,104.20 ",45," $43,059,058,373 ",4,66%,43%,57,Cloud Servers,764164
China,2004,Biotechnology,27.47%," $96,793,137,555 ",9015,1448," $88,135,616,341.20 ",411," $2,889,623,026 ",9,62%,15%,16,Robots,993329
China,2013,Software,17.84%," $91,698,651,240 ",4124,152," $108,861,885,529.55 ",359," $251,573,605 ",10,53%,85%,15,5G Equipment,147838
China,2001,Software,5.83%," $42,540,377,600 ",1140,1104," $10,263,724,393.27 ",383," $20,800,111,185 ",11,86%,53%,134,AI Chips,66770
China,2011,Robotics,49.15%," $93,814,443,663 ",3150,1759," $9,551,698,374.25 ",165," $29,514,796,142 ",16,67%,67%,113,AI Chips,12465
China,2017,Robotics,29.53%," $93,194,521,835 ",2794,736," $42,777,165,652.25 ",116," $34,126,979,973 ",5,59%,28%,132,AI Chips,506687
China,2008,Software,26.31%," $90,434,279,138 ",496,1377," $2,870,608,382.76 ",118," $16,025,585,237 ",7,43%,56%,57,5G Equipment,671848
China,2019,Software,45.02%," $5,417,771,738 ",9224,881," $8,829,865,376.17 ",428," $42,391,833,034 ",6,50%,82%,108,Cloud Servers,945586
China,2001,Software,41.24%," $62,761,514,837 ",4640,984," $198,215,270,875.49 ",310," $3,393,267,367 ",4,67%,55%,138,Cloud Servers,770693
Japan,2012,Biotechnology,26.00%," $85,897,230,727 ",5746,948," $197,050,987,006.99 ",156," $43,413,446,565 ",1,67%,24%,40,Cloud Servers,413152
China,2007,Biotechnology,39.26%," $77,189,456,096 ",4838,246," $118,925,031,570.28 ",84," $25,202,309,817 ",15,97%,72%,168,Semiconductors,591172
China,2009,Telecommunications,44.85%," $69,054,116,439 ",3697,1396," $180,666,353,768.95 ",491," $47,052,171,301 ",10,90%,59%,118,Cloud Servers,519401
Japan,2015,Cloud Computing,20.34%," $31,546,293,976 ",2166,61," $68,543,448,594.91 ",96," $43,929,871,377 ",8,75%,22%,11,Cloud Servers,510179
China,2001,Cloud Computing,46.97%," $84,186,975,438 ",3945,1310," $26,628,809,774.79 ",308," $1,501,031,958 ",3,99%,67%,121,AI Chips,628731
Japan,2009,Biotechnology,11.61%," $29,461,378,000 ",6109,344," $174,293,568,884.96 ",266," $16,118,738,236 ",10,92%,75%,167,5G Equipment,987638
China,2013,Software,23.77%," $14,819,099,657 ",7882,1459," $187,058,203,142.03 ",459," $25,365,801,281 ",2,52%,60%,119,Robots,781352
China,2018,Cloud Computing,9.41%," $22,222,150,675 ",7907,1318," $81,069,738,600.73 ",40," $36,344,925,932 ",19,72%,74%,174,Cloud Servers,794110
Japan,2004,Telecommunications,14.12%," $15,887,557,547 ",6364,1474," $184,586,418,680.64 ",221," $17,362,865,790 ",8,44%,80%,72,5G Equipment,812500
China,2000,Cloud Computing,8.76%," $60,691,659,168 ",1118,1863," $162,424,623,720.07 ",239," $37,102,166,778 ",6,63%,34%,188,5G Equipment,996999
Japan,2000,Telecommunications,30.59%," $86,765,825,085 ",9338,786," $38,013,901,063.09 ",49," $24,398,714,622 ",5,96%,51%,58,Cloud Servers,881476
Japan,2018,AI,14.36%," $40,576,771,309 ",994,87," $39,277,525,206.52 ",133," $34,940,518,961 ",7,64%,41%,26,AI Chips,52150
Japan,2019,AI,14.46%," $25,725,016,264 ",2986,341," $79,971,765,864.19 ",14," $19,042,272,369 ",12,80%,31%,140,Semiconductors,917122
